M,Q,T_outer,T_cosmo,S_outer,S_cosmo,Delta_total
0.10205661377030187,0.04170682090894757,0.3684872861235863,0.07981159877501255,0.12304837583349638,8.243445907354305,1.0582836775815778
0.10455672562382572,0.04256156747177111,0.35866252913554575,0.07947669391154508,0.12943170207394022,8.212334322705518,1.083011935989921
0.10690103218610858,0.04378032819842198,0.3498421130238678,0.07916279526450815,0.13532654892443896,8.183189838825907,1.106261573019033
0.10903688538578668,0.04533573235047183,0.34211745786908765,0.07887761469729096,0.1405444334720896,8.156704526667728,1.1275290006295613
0.11091631856462153,0.04719284890391801,0.33555174361795476,0.07862833377112753,0.14490184648516613,8.133517178028528,1.1463589362556856
0.11249712370523401,0.04930997102467586,0.3301858502586795,0.07842137040811535,0.14823021317506807,8.114194902798078,1.1623528447962332
0.11374379933217967,0.051639552714157634,0.32604301789562284,0.07826215563393212,0.15038594102414346,8.099215965094801,1.175176054650434
0.11462834779855047,0.054129276589897704,0.3231322112642816,0.07815493366078942,0.15125974471403925,8.088954696169893,1.1845635198854474
0.11513090405276506,0.05672322882117316,0.32145022680950214,0.07810259847879536,0.15078444795192741,8.083669293704142,1.1903242191133092
0.1152401817648008,0.059363154833098744,0.3209825978889127,0.07810657857592605,0.14894055925565275,8.083493210248042,1.1923441912656845
0.11495372679283412,0.06198976757878941,0.3217033543951848,0.07816677843875032,0.1457590988167021,8.08843065122528,1.1905882107273964
0.11427797229797512,0.06454407899861804,0.32357369937128466,0.07828158138893515,0.14132139877154032,8.098356460964213,1.1851001010336262
0.11322809426933808,0.06696872476486397,0.3265397060589358,0.07844791359626355,0.13575588090263965,8.11302040034035,1.1760016795263901
0.11182767070404347,0.06920925256084344,0.3305292559551294,0.07866136441553992,0.12923209880048087,8.132055544763967,1.163490317204932
0.1101081520962337,0.07121534496255008,0.33544869275829386,0.07891635415572643,0.1219525802241544,8.154990289304674,1.14783509124055
0.10810815512677804,0.07294194945952016,0.34118014130441565,0.07920633750426498,0.11414318931315101,8.181263265217455,1.1293715062387744
0.10587259541587284,0.07435029023709017,0.34758122394282936,0.07952402937202789,0.1060428252353103,8.210240364618656,1.1084947709154136
0.10345167881504423,0.07540873899759845,0.3544900267241381,0.07986163991395058,0.09789326919681131,8.241233040565502,1.0856516510070655
0.10089977389196031,0.07609352526376414,0.3617393974848361,0.08021110671312978,0.08992987378596047,8.273517089981503,1.0613309970019156
0.09827419092961295,0.07638927021236075,0.36918509884243467,0.08056431424004983,0.08237354287262076,8.3063512204526,1.0360531974441596
0.09563389486091547,0.07628933204943106,0.37674978391795455,0.08091329330483112,0.07542406313307187,8.3389948289303,1.0103590687060073
0.09303818104343023,0.07579595517066058,0.38447547332867604,0.08125039592464837,0.06925434573055096,8.370724561156775,0.9847990538820532
0.09054534361347098,0.07492021975708907,0.39255839551411076,0.08156844352584514,0.06400469505165941,8.400849358651081,0.9599239070666385
0.08821136632547599,0.0736817929381318,0.4013185824118855,0.08186084848968217,0.05977632108697842,8.428723823463363,0.9362778162190377
