M,Lambda,x,Delta,eta_C,T_b,T_c
1e-08,1.0005432005263657,1.1550141194419976e-08,1.0879841555902498e-07,0.999999976899718,3978873.577297381,0.09191310163264958
1e-08,1.000543200635105,1.1550141195047616e-08,1.0879841555311283e-07,0.999999976899718,3978873.577297381,0.0919131016376441
1e-08,1.0005432007438442,1.1550141195675253e-08,1.0879841554720074e-07,0.999999976899718,3978873.57729738,0.09191310164263866
1e-08,1.0005432008525834,1.1550141196302888e-08,1.087984155412886e-07,0.999999976899718,3978873.577297381,0.09191310164763324
1e-08,1.0005432009613227,1.1550141196930521e-08,1.0879841553537645e-07,0.999999976899718,3978873.5772973816,0.09191310165262781
1e-08,1.000543201070062,1.1550141197558159e-08,1.0879841552946436e-07,0.999999976899718,3978873.577297381,0.09191310165762234
1e-08,1.0005432011788011,1.155014119818579e-08,1.0879841552355228e-07,0.999999976899718,3978873.577297381,0.09191310166261701
1e-08,1.0005432012875404,1.1550141198813432e-08,1.0879841551764013e-07,0.999999976899718,3978873.577297381,0.09191310166761149
1e-08,1.0005432013962796,1.155014119944107e-08,1.0879841551172802e-07,0.999999976899718,3978873.57729738,0.09191310167260605
1e-08,1.0005432015050189,1.1550141200068699e-08,1.0879841550581593e-07,0.999999976899718,3978873.577297381,0.0919131016776007
1e-08,1.000543201613758,1.155014120069634e-08,1.0879841549990376e-07,0.999999976899718,3978873.577297381,0.09191310168259517
1e-08,1.0005432017224973,1.1550141201323972e-08,1.0879841549399164e-07,0.999999976899718,3978873.5772973816,0.09191310168758977
1e-08,1.0005432018312366,1.1550141201951606e-08,1.0879841548807958e-07,0.999999976899718,3978873.577297381,0.09191310169258438
1e-08,1.0005432019399758,1.155014120257925e-08,1.0879841548216743e-07,0.999999976899718,3978873.57729738,0.09191310169757888
1e-08,1.000543202048715,1.155014120320688e-08,1.087984154762553e-07,0.999999976899718,3978873.5772973816,0.09191310170257348
1e-08,1.0005432021574543,1.1550141203834516e-08,1.0879841547034321e-07,0.999999976899718,3978873.577297381,0.09191310170756808
1e-08,1.0005432022661935,1.1550141204462151e-08,1.0879841546443113e-07,0.999999976899718,3978873.57729738,0.09191310171256269
1e-08,1.0005432023749328,1.1550141205089789e-08,1.0879841545851896e-07,0.999999976899718,3978873.577297381,0.09191310171755719
1e-08,1.000543202483672,1.1550141205717426e-08,1.0879841545260688e-07,0.999999976899718,3978873.57729738,0.09191310172255177
