x,Delta,eta_C,M,T_ratio
9.641338902845605352e-01,3.140196070730723932e+00,2.405717198140517113e-02,3.331666362540203208e-01,9.759428280185947768e-01
9.648755196155595071e-01,3.140254234618696128e+00,2.355668816989867770e-02,3.331735784270969947e-01,9.764433118301013570e-01
9.656019027258944121e-01,3.140309962759629592e+00,2.306662038524172689e-02,3.331802299057772254e-01,9.769333796147582349e-01
9.663133530246902358e-01,3.140363358246704983e+00,2.258674915206374673e-02,3.331866029916761840e-01,9.774132508479361769e-01
9.670101772551059627e-01,3.140414519720795550e+00,2.211685988657061119e-02,3.331927094553028823e-01,9.778831401134294721e-01
9.676926756589012690e-01,3.140463541569974204e+00,2.165674276720678040e-02,3.331985605598452582e-01,9.783432572327932508e-01
9.683611421352554816e-01,3.140510514119497110e+00,2.120619261006261025e-02,3.332041670838219449e-01,9.787938073899373759e-01
9.690158643941426675e-01,3.140555523812762484e+00,2.076500874877677469e-02,3.332095393426575680e-01,9.792349912512231525e-01
9.696571241045267575e-01,3.140598653383718908e+00,2.033299491871401465e-02,3.332146872092408008e-01,9.796670050812859021e-01
9.702851970376471513e-01,3.140639982021176557e+00,1.990995914519674836e-02,3.332196201335163033e-01,9.800900408548033349e-01
9.709003532056298402e-01,3.140679585525413486e+00,1.949571363559439441e-02,3.332243471611605057e-01,9.805042863644055640e-01
9.715028569956533078e-01,3.140717536457497516e+00,1.909007467508069475e-02,3.332288769513876425e-01,9.809099253249193850e-01
9.720929672998842586e-01,3.140753904281665676e+00,1.869286252588107586e-02,3.332332177939293927e-01,9.813071374741190178e-01
9.726709376413815722e-01,3.140788755501139118e+00,1.830390132984473922e-02,3.332373776252325337e-01,9.816960986701551706e-01
9.732370162961598847e-01,3.140822153787682591e+00,1.792301901418288240e-02,3.332413640439108038e-01,9.820769809858171939e-01
9.737914464115827728e-01,3.140854160105218895e+00,1.755004720023017536e-02,3.332451843254873869e-01,9.824499527997699877e-01
9.743344661212626212e-01,3.140884832827814943e+00,1.718482111508418814e-02,3.332488454364681552e-01,9.828151788849157633e-01
9.748663086566127234e-01,3.140914227852281915e+00,1.682717950599899384e-02,3.332523540477719259e-01,9.831728204940010096e-01
9.753872024552057152e-01,3.140942398705681260e+00,1.647696455740530613e-02,3.332557165475534267e-01,9.835230354425948951e-01
9.758973712660722333e-01,3.140969396647977252e+00,1.613402181044483116e-02,3.332589390534484441e-01,9.838659781895551237e-01
9.763970342520744694e-01,3.140995270770051473e+00,1.579820008490638583e-02,3.332620274242650282e-01,9.842017999150936003e-01
9.768864060894741908e-01,3.141020068087333250e+00,1.546935140346289601e-02,3.332649872711531125e-01,9.845306485965372723e-01
9.773656970648110232e-01,3.141043833629233450e+00,1.514733091811207299e-02,3.332678239682728694e-01,9.848526690818879548e-01
9.778351131692009091e-01,3.141066610524586356e+00,1.483199683872880870e-02,3.332705426629876677e-01,9.851680031612710664e-01
9.782948561901582130e-01,3.141088440083298572e+00,1.452321036364150227e-02,3.332731482856048921e-01,9.854767896363584301e-01
9.787451238010391741e-01,3.141109361874358630e+00,1.422083561215085890e-02,3.332756455586821098e-01,9.857791643878490717e-01
9.791861096481926374e-01,3.141129413800418213e+00,1.392473955891708123e-02,3.332780390059250086e-01,9.860752604410828459e-01
9.796180034359136535e-01,3.141148632169058708e+00,1.363479197013633785e-02,3.332803329606900400e-01,9.863652080298637159e-01
9.800409910092755528e-01,3.141167051760938023e+00,1.335086534144153646e-02,3.332825315741148597e-01,9.866491346585583022e-01
9.804552544349195431e-01,3.141184705894929152e+00,1.307283483746072422e-02,3.332846388228900003e-01,9.869271651625393105e-01
9.808609720798756593e-01,3.141201626490420118e+00,1.280057823297014660e-02,3.332866585166919249e-01,9.871994217670299054e-01
9.812583186884841213e-01,3.141217844126877434e+00,1.253397585558419305e-02,3.332885943052901201e-01,9.874660241444158659e-01
9.816474654574833814e-01,3.141233388100815205e+00,1.227291052992477739e-02,3.332904496853444365e-01,9.877270894700752590e-01
9.820285801093258105e-01,3.141248286480282648e+00,1.201726752321938957e-02,3.332922280069059995e-01,9.879827324767805896e-01
9.824018269637823098e-01,3.141262566156989511e+00,1.176693449227482653e-02,3.332939324796377889e-01,9.882330655077251613e-01
9.827673670078911350e-01,3.141276252896159527e+00,1.152180143178023822e-02,3.332955661787623813e-01,9.884781985682198346e-01
9.831253579643024487e-01,3.141289371384235807e+00,1.128176062389448300e-02,3.332971320507548962e-01,9.887182393761054788e-01
9.834759543580731123e-01,3.141301945274523000e+00,1.104670658907298646e-02,3.332986329187890839e-01,9.889532934109268592e-01
9.838193075819570144e-01,3.141313997230854582e+00,1.081653603809360972e-02,3.333000714879483239e-01,9.891834639619063729e-01
9.841555659602377881e-01,3.141325548969382098e+00,1.059114782524298373e-02,3.333014503502118031e-01,9.894088521747570475e-01
9.844848748111481029e-01,3.141336621298570719e+00,1.037044290262472204e-02,3.333027719892278640e-01,9.896295570973753231e-01
